Application,Schema,Table,Type,Column,Data Type,"Default 
Value","Column 
Key","IS_NULL
ABLE","Auto 
Increment",Description
Example,cmpdb,@tblName,table,list_member_id_pk,int(11),0,,NO,,
Example,cmpdb,@tblName,table,campaign_id,int(11),,,YES,,
Example,cmpdb,@tblName,table,promotion_id,int(11),,,YES,,
Example,cmpdb,@tblName,table,list_id,int(11),,,YES,,
Example,cmpdb,@tblName,table,CSN,varchar(20),,,YES,,
Example,cmpdb,@tblName,table,email_id,varchar(200),,,YES,,
Example,cmpdb,@tblName,table,phone_number,varchar(20),,,YES,,
Example,cmpdb,@tblName,table,created_by,int(11),0,,YES,,
Example,cmpdb,@tblName,table,created_on,datetime,,,YES,,
Example,cmpdb,@tblName,table,modified_by,int(11),0,,YES,,
Example,cmpdb,@tblName,table,modified_on,datetime,,,YES,,
Example,cmpdb,@tblName,table,is_active,tinyint(1),1,,YES,,
Example,cmpdb,@tblName,table,client_name_english,varchar(500),,,YES,,
Example,cmpdb,@tblName,table,balance_points,varchar(500),,,YES,,
Example,cmpdb,@tblName,table,expirying_points,varchar(500),,,YES,,
Example,cmpdb,@tblName,table,point_date,varchar(500),,,YES,,
Example,cmpdb,campaign,table,campaign_id_pk,int(11),,PRI,NO,Yes,"Number, Primary, Unique, Not Null Key, Number Auto incremental"
Example,cmpdb,campaign,table,campaign_name,varchar(300),,,NO,,Stores String Name of campaign
Example,cmpdb,campaign,table,start_date,datetime,,,YES,,Start date of campaign
Example,cmpdb,campaign,table,end_date,datetime,,,YES,,End date of campaign
Example,cmpdb,campaign,table,merchant_id_fk,varchar(20),,,NO,,Stores String Fk of campaign
Example,cmpdb,campaign,table,cmp_type_id_fk,int(11),,MUL,YES,,Stores String Fk of campaign
Example,cmpdb,campaign,table,created_by,int(11),0,,YES,,Stores String By of campaign
Example,cmpdb,campaign,table,created_on,datetime,,,YES,,Created date of campaign
Example,cmpdb,campaign,table,modified_by,int(11),0,,YES,,Stores String By of campaign
Example,cmpdb,campaign,table,modified_on,datetime,,,YES,,Modified date of campaign
Example,cmpdb,campaign,table,is_active,tinyint(1),1,,YES,,Stores String Active of campaign
Example,cmpdb,campaign_audit,table,campaign_id_pk,int(11),0,,NO,,Stores String Pk of campaign_audit
Example,cmpdb,campaign_audit,table,campaign_name,varchar(300),,,NO,,Stores String Name of campaign_audit
Example,cmpdb,campaign_audit,table,start_date,datetime,,,YES,,Start date of campaign_audit
Example,cmpdb,campaign_audit,table,end_date,datetime,,,YES,,End date of campaign_audit
Example,cmpdb,campaign_audit,table,merchant_id_fk,varchar(20),,,NO,,Stores String Fk of campaign_audit
Example,cmpdb,campaign_audit,table,cmp_type_id_fk,int(11),,,YES,,Stores String Fk of campaign_audit
Example,cmpdb,campaign_audit,table,created_by,int(11),0,,YES,,Stores String By of campaign_audit
Example,cmpdb,campaign_audit,table,created_on,datetime,,,YES,,Created date of campaign_audit
Example,cmpdb,campaign_audit,table,modified_by,int(11),0,,YES,,Stores String By of campaign_audit
Example,cmpdb,campaign_audit,table,modified_on,datetime,,,YES,,Modified date of campaign_audit
Example,cmpdb,campaign_audit,table,is_active,tinyint(1),1,,YES,,Stores String Active of campaign_audit
Example,cmpdb,campaign_email_stats,table,campaign_email_stats_id_pk,int(11),,PRI,NO,Yes,Stores String Pk of campaign_email_stats
Example,cmpdb,campaign_email_stats,table,status,varchar(45),,,YES,,Stores String Status of campaign_email_stats
Example,cmpdb,campaign_email_stats,table,state_permanent,tinyint(1),,,YES,,Stores String Permanent of campaign_email_stats
Example,cmpdb,campaign_email_stats,table,unsub,tinyint(1),,,YES,,Stores String Unsub of campaign_email_stats
Example,cmpdb,campaign_email_stats,table,bounce_date,datetime,,,YES,,Bounce date of campaign_email_stats
Example,cmpdb,campaign_email_stats,table,click,tinyint(1),,,YES,,Stores String Click of campaign_email_stats
Example,cmpdb,campaign_email_stats,table,contact_id,int(11),,,YES,,Stores String Id of campaign_email_stats
