Application,Schema,Table,Type,Column,Data Type,"Default 
Value","Column 
Key","IS_NULL
ABLE","Auto 
Increment",Description
Example,cmpdbbasic,faq,table,faq_id_pk,int(11),,PRI,NO,Yes,
Example,cmpdbbasic,faq,table,question,text,,,YES,,
Example,cmpdbbasic,faq,table,answer,text,,,YES,,
Example,cmpdbbasic,faq,table,faq_category,varchar(45),,,YES,,General/Subscription/Plan
Example,cmpdbbasic,faq,table,is_active,tinyint(1),,,YES,,
Example,cmpdbbasic,faq,table,created_by,int(11),,,YES,,
Example,cmpdbbasic,faq,table,created_on,datetime,,,YES,,
Example,cmpdbbasic,faq,table,modified_by,int(11),,,YES,,
Example,cmpdbbasic,faq,table,modified_on,datetime,,,YES,,
Example,cmpdbbasic,faq_audit,table,faq_id_pk,int(11),0,,NO,,
Example,cmpdbbasic,faq_audit,table,question,text,,,YES,,
Example,cmpdbbasic,faq_audit,table,answer,text,,,YES,,
Example,cmpdbbasic,faq_audit,table,faq_category,varchar(45),,,YES,,General/Subscription/Plan
Example,cmpdbbasic,faq_audit,table,is_active,tinyint(1),,,YES,,
Example,cmpdbbasic,faq_audit,table,created_by,int(11),,,YES,,
Example,cmpdbbasic,faq_audit,table,created_on,datetime,,,YES,,
Example,cmpdbbasic,faq_audit,table,modified_by,int(11),,,YES,,
Example,cmpdbbasic,faq_audit,table,modified_on,datetime,,,YES,,
Example,cmpdbbasic,feedback,table,feedback_id_pk,int(11),,PRI,NO,Yes,
Example,cmpdbbasic,feedback,table,feedback_point,int(11),,,YES,,
Example,cmpdbbasic,feedback,table,merchant_id_fk,varchar(45),,,YES,,
Example,cmpdbbasic,feedback,table,user_id_fk,int(11),,,YES,,
Example,cmpdbbasic,feedback,table,is_active,tinyint(1),,,YES,,
Example,cmpdbbasic,feedback,table,created_on,datetime,,,YES,,
Example,cmpdbbasic,feedback,table,created_by,int(11),,,YES,,
Example,cmpdbbasic,feedback,table,modified_on,datetime,,,YES,,
Example,cmpdbbasic,feedback,table,modified_by,int(11),,,YES,,
Example,cmpdbbasic,feedback,table,remarks,text,,,YES,,
